Feedstock,“Primary” Conversion Technology,Commodity,Commodity Unit,Unit Code,year,Installation,Variable Category,Variable Subcategory,Variable Unit,Value,Conversion Value,portfolio
Wind,Wind turbine,Electricity,Megawatts,MW,2034,2380.952380952381,Jobs,High School - Long-Term Training,# of New Jobs,0.0409,9.738095238095237,Portfolio - EBetancourt-TheOutrageousPortfolio EDITED
Wind,Wind turbine,Electricity,Megawatts,MW,2035,2619.0476190476193,Jobs,High School - Long-Term Training,# of New Jobs,0.0409,9.738095238095237,Portfolio - EBetancourt-TheOutrageousPortfolio EDITED
Wind,Wind turbine,Electricity,Megawatts,MW,2036,2857.1428571428573,Jobs,High School - Long-Term Training,# of New Jobs,0.0409,9.738095238095237,Portfolio - EBetancourt-TheOutrageousPortfolio EDITED
Wind,Wind turbine,Electricity,Megawatts,MW,2037,3095.2380952380954,Jobs,High School - Long-Term Training,# of New Jobs,0.0409,9.738095238095237,Portfolio - EBetancourt-TheOutrageousPortfolio EDITED
Wind,Wind turbine,Electricity,Megawatts,MW,2038,3333.3333333333335,Jobs,High School - Long-Term Training,# of New Jobs,0.0409,9.738095238095237,Portfolio - EBetancourt-TheOutrageousPortfolio EDITED
Wind,Wind turbine,Electricity,Megawatts,MW,2039,3571.4285714285716,Jobs,High School - Long-Term Training,# of New Jobs,0.0409,9.738095238095237,Portfolio - EBetancourt-TheOutrageousPortfolio EDITED
Wind,Wind turbine,Electricity,Megawatts,MW,2040,3809.5238095238096,Jobs,High School - Long-Term Training,# of New Jobs,0.0409,9.738095238095237,Portfolio - EBetancourt-TheOutrageousPortfolio EDITED
Wind,Wind turbine,Electricity,Megawatts,MW,2041,4047.6190476190477,Jobs,High School - Long-Term Training,# of New Jobs,0.0409,9.738095238095237,Portfolio - EBetancourt-TheOutrageousPortfolio EDITED
Wind,Wind turbine,Electricity,Megawatts,MW,2042,4285.714285714286,Jobs,High School - Long-Term Training,# of New Jobs,0.0409,9.738095238095255,Portfolio - EBetancourt-TheOutrageousPortfolio EDITED
Wind,Wind turbine,Electricity,Megawatts,MW,2043,4523.809523809525,Jobs,High School - Long-Term Training,# of New Jobs,0.0409,9.738095238095255,Portfolio - EBetancourt-TheOutrageousPortfolio EDITED
Wind,Wind turbine,Electricity,Megawatts,MW,2044,4761.904761904763,Jobs,High School - Long-Term Training,# of New Jobs,0.0409,9.738095238095255,Portfolio - EBetancourt-TheOutrageousPortfolio EDITED
Wind,Wind turbine,Electricity,Megawatts,MW,2045,5000,Jobs,High School - Long-Term Training,# of New Jobs,0.0409,9.73809523809518,Portfolio - EBetancourt-TheOutrageousPortfolio EDITED
Wind,Wind turbine,Electricity,Megawatts,MW,2025,238.0952380952381,Jobs,High School - No Training,# of New Jobs,0.0236,5.6190476190476195,Portfolio - EBetancourt-TheOutrageousPortfolio EDITED
Wind,Wind turbine,Electricity,Megawatts,MW,2026,476.1904761904762,Jobs,High School - No Training,# of New Jobs,0.0236,5.6190476190476195,Portfolio - EBetancourt-TheOutrageousPortfolio EDITED
Wind,Wind turbine,Electricity,Megawatts,MW,2027,714.2857142857143,Jobs,High School - No Training,# of New Jobs,0.0236,5.6190476190476195,Portfolio - EBetancourt-TheOutrageousPortfolio EDITED
Wind,Wind turbine,Electricity,Megawatts,MW,2028,952.3809523809524,Jobs,High School - No Training,# of New Jobs,0.0236,5.619047619047619,Portfolio - EBetancourt-TheOutrageousPortfolio EDITED
Wind,Wind turbine,Electricity,Megawatts,MW,2029,1190.4761904761906,Jobs,High School - No Training,# of New Jobs,0.0236,5.619047619047621,Portfolio - EBetancourt-TheOutrageousPortfolio EDITED
Wind,Wind turbine,Electricity,Megawatts,MW,2030,1428.5714285714287,Jobs,High School - No Training,# of New Jobs,0.0236,5.619047619047619,Portfolio - EBetancourt-TheOutrageousPortfolio EDITED
